date,min,max,pm25,q1,q3,stdev,count
2019-12-09,0.6,1.98,1.42,0.85,1.6,0.387,269
2019-12-10,0.76,5.3,1.4,1.23,2.2,0.655,352
2019-12-11,0.8,3.87,1.97,1.6,2.35,0.577,357
2019-12-12,0.6,19.16,12.66,1,16.2,6.811,401
2019-12-13,3.03,15.2,7.09,5.39,11.12,3.312,448
2019-12-14,1.65,11.7,4.55,2.95,6.64,2.727,319
2019-12-15,0.85,5.3,1.76,1.44,2.5,0.715,456
2019-12-16,0.95,3.15,1.85,1.65,2.16,0.386,230
2019-12-17,1.34,6.08,3.37,2.95,4.73,1.107,232
2019-12-18,0.6,5,1.38,1.11,1.97,0.935,372
2019-12-19,1.2,7.1,3.32,2.04,4.09,1.435,440
2019-12-20,3.22,22.94,12.08,7.92,16.98,5.04,457
2019-12-21,8.75,33.75,22.19,19.48,28.48,5.495,446
2019-12-22,1.8,8.6,3.69,3.18,4.45,1.039,448
2019-12-23,1.63,8.23,2.84,2.38,3.8,0.948,446
2019-12-24,2.75,13.03,4.59,3.88,7.83,2.494,464
2019-12-25,0.8,10.7,3.55,2.7,5.95,2.182,465
2019-12-26,0.82,3.84,1.8,1.4,2.27,0.662,462
2019-12-27,0.84,3.25,2.12,1.65,2.38,0.545,446
2019-12-28,1.46,3.48,2.15,1.9,2.6,0.42,460
2019-12-29,1.82,12.92,6.52,3.58,9.27,3.164,460
2019-12-30,1.3,11.53,3.06,2.48,3.72,2.22,455
2019-12-31,0.55,6.52,1.02,0.8,1.19,0.746,445
2020-01-01,0.97,3.34,1.46,1.3,2.16,0.553,457
2020-01-02,1.7,9.09,5.71,4.21,7.02,1.998,452
2020-01-03,0.6,6.02,1.1,0.95,1.65,1.076,439
2020-01-04,0.7,1.88,1.03,0.85,1.3,0.293,453
2020-01-05,0.9,1.92,1.25,1.15,1.4,0.176,452
2020-01-06,0.7,2.66,1.74,1.45,2,0.416,430
2020-01-07,0.65,10.43,3.71,0.98,5.65,2.698,430
2020-01-08,1,3.83,2.25,2,2.46,0.389,420
2020-01-09,2.04,6.83,2.82,2.6,3.58,0.759,442
2020-01-10,1.45,14.68,2.9,2.04,3.83,1.342,371
2020-01-11,0.88,3.97,2.1,1.6,2.75,0.7,437
2020-01-12,0.55,2.85,1.54,0.88,1.8,0.526,455
2020-01-13,1.38,4.22,2.18,1.93,2.43,0.376,419
2020-01-14,1.57,10.05,3.47,2.15,4.88,1.85,377
2020-01-15,0.65,5.47,1.4,1.2,2.06,0.873,388
2020-01-16,0.98,3.84,2.77,2.1,3.11,0.765,405
2020-01-17,2.06,15.9,8.6,2.73,11.76,4.469,399
2020-01-18,0.6,24.26,9.9,1.23,14.2,6.445,419
2020-01-19,0.75,1.55,1.1,1,1.2,0.157,257
2020-02-06,0.57,3.9,2.45,2.11,2.99,0.633,73
2020-02-07,1.37,4.76,3.14,2.52,3.73,0.812,210
2020-02-08,1.27,7.1,3.2,2.06,4.03,1.343,188
2020-02-09,3.5,17.3,9.43,6.84,11.35,2.97,331
2020-02-10,0.7,5.09,1.76,1.42,2.06,0.888,331
2020-02-11,1.3,4.58,2.25,1.97,2.5,0.435,320
2020-02-12,0.85,5.12,1.4,1.1,2.48,0.836,323
2020-02-13,0.88,2.6,1.28,1.14,1.58,0.291,332
2020-02-14,1.12,4.55,1.9,1.5,2.5,0.696,345
2020-02-15,1.53,7.28,3.49,2.54,4.87,1.524,288
2020-02-16,0.7,11.67,2.8,1.25,4.45,2.615,321
2020-02-17,0.76,3.53,1.86,1.46,2.35,0.624,326
2020-02-18,1.05,3.67,2.4,1.75,2.83,0.65,288
2020-02-19,0.97,4.16,1.57,1.26,1.85,0.455,394
2020-02-20,0.9,5.93,1.67,1.45,2.06,0.937,418
2020-02-21,0.8,9.6,2.34,1.43,3.24,2.261,378
2020-02-22,0.53,2.33,1.05,0.85,1.47,0.38,387
2020-02-23,0.67,4.49,1.14,1,1.56,0.577,379
2020-02-24,0.75,14.24,1.35,1.13,2.15,1.396,431
2020-02-25,0.93,2.72,1.6,1.28,1.96,0.395,394
