date,min,max,pm25,q1,q3,stdev,count
2019-12-09,0.38,4.03,1.28,0.75,1.57,0.582,310
2019-12-10,0.64,7.44,1.12,0.9,2.04,1.086,413
2019-12-11,0.6,3.55,1.65,1.36,2.06,0.597,414
2019-12-12,0.35,17.3,11.36,0.65,15.05,6.501,488
2019-12-13,2.15,17.1,7.69,5.48,10.52,3.443,558
2019-12-14,1.25,12.2,4.23,2.59,7.66,3.069,393
2019-12-15,0.7,6.53,1.98,1.25,2.8,0.977,561
2019-12-16,0.84,2.95,1.5,1.32,1.9,0.403,287
2019-12-17,1.12,9.72,3.5,2.96,4.97,1.669,268
2019-12-18,0.3,5.88,1.18,0.88,1.97,1.359,456
2019-12-19,0.94,10.24,3.2,1.72,4.49,1.841,544
2019-12-20,3.35,22.82,11.9,7.54,16.52,4.952,551
2019-12-21,8.61,32.17,22.6,19.57,28.68,5.564,549
2019-12-22,1.4,7.92,3.75,3,4.47,1.086,561
2019-12-23,2.1,9.33,4.19,3.04,5.6,1.522,554
2019-12-24,3.51,41.11,6.44,4.88,9.35,3.607,570
2019-12-25,0.65,11.18,5.05,4.05,6.3,2.211,570
2019-12-26,0.75,3.53,1.71,1.38,2.27,0.657,570
2019-12-27,0.63,3.25,2,1.48,2.24,0.566,553
2019-12-28,1.3,4.63,2.2,1.85,2.54,0.544,574
2019-12-29,2.04,13.05,6.51,3.53,9.72,3.438,578
2019-12-30,1.04,11.45,3.05,2.38,3.7,2.255,567
2019-12-31,0.3,14.76,0.75,0.55,0.9,1.593,554
2020-01-01,0.66,10.64,1.27,1.1,2,0.772,567
2020-01-02,1.5,9.26,5.55,4.12,6.85,1.926,562
2020-01-03,0.44,6.04,0.9,0.7,1.56,1.075,541
2020-01-04,0.35,1.75,0.75,0.6,0.95,0.304,548
2020-01-05,0.63,5.28,1.12,0.97,1.3,0.462,554
2020-01-06,0.5,3.24,1.78,1.28,2,0.5,519
2020-01-07,0.45,14.74,3.62,0.8,5.56,2.831,519
2020-01-08,0.75,3.01,2.13,1.92,2.35,0.391,496
2020-01-09,1.85,13.6,2.81,2.52,4.38,2.106,518
2020-01-10,1.3,8,2.93,2.2,3.6,1.042,425
2020-01-11,0.6,4.08,2.18,1.5,2.75,0.816,514
2020-01-12,0.33,3.58,1.35,0.65,1.61,0.56,544
2020-01-13,1.05,3.75,1.95,1.68,2.34,0.446,475
2020-01-14,1.48,14.7,3.35,2,4.63,1.93,436
2020-01-15,0.44,5.08,1.23,0.96,1.95,0.928,457
2020-01-16,0.65,4.09,2.78,2,3.14,0.87,473
2020-01-17,1.72,18.89,6.95,2.66,11.21,4.577,467
2020-01-18,0.45,20.74,9.35,2.56,14.44,5.993,495
2020-01-19,0.6,1.84,0.89,0.8,0.99,0.16,463
2020-01-20,0.64,2.82,1.54,1.3,1.95,0.475,366
2020-01-21,0.48,3.01,1.34,0.94,2.24,0.7,458
2020-01-22,0.4,0.76,0.56,0.5,0.61,0.091,20
2020-01-23,0.82,3.22,1.06,0.95,1.42,0.492,87
2020-01-24,0.8,1.94,1.3,1.11,1.45,0.232,271
2020-01-25,0.65,11.72,1.05,0.86,1.69,1.251,300
2020-01-26,0.71,2.27,1.14,1,1.52,0.348,294
2020-01-27,2.95,13.49,5.46,4.55,6.9,2.437,223
2020-01-28,2.38,12.52,7.12,5.75,8,2.215,279
2020-01-29,0.78,8.23,3.38,1.7,5.25,1.881,311
2020-01-30,1.06,6.93,3.86,2.85,4.94,1.349,291
2020-01-31,0.5,10.74,1.34,0.85,3.39,1.715,287
2020-02-01,0.38,10.52,1.66,1.27,2.1,0.926,323
2020-02-02,0.28,1.9,0.55,0.45,0.7,0.287,340
2020-02-03,0.3,11.48,0.96,0.54,2.5,2.292,316
2020-02-04,0.57,4.42,1.55,1.1,2.12,0.888,257
2020-02-05,0.5,1.55,0.8,0.7,0.95,0.177,201
2020-02-06,0.35,3.5,1.29,0.75,2.09,0.754,222
2020-02-07,1,4.23,2.66,2.09,3.2,0.806,216
2020-02-08,0.81,6.3,2.38,1.6,3.56,1.353,196
2020-02-09,3.04,15.12,8.18,6.42,10.34,2.628,370
2020-02-10,0.36,4.93,1.43,1.2,1.78,0.942,377
2020-02-11,0.95,3.15,2.02,1.68,2.25,0.399,373
2020-02-12,0.46,3.49,1.08,0.8,2.38,0.854,378
2020-02-13,0.55,2.06,0.94,0.8,1.3,0.327,376
2020-02-14,0.71,11.73,1.61,1.14,2.42,1.341,384
2020-02-15,1.13,6.34,2.89,2.04,4.21,1.385,322
2020-02-16,0.4,10.62,2.58,1.35,3.82,2.438,379
2020-02-17,0.42,3.16,1.6,1.21,2.12,0.628,341
2020-02-18,0.8,3.54,2.17,1.61,2.69,0.688,309
2020-02-19,0.72,2.8,1.38,1.1,1.62,0.346,445
2020-02-20,0.48,5.54,1.45,1.15,2.18,1.088,491
2020-02-21,0.55,8.44,2.09,1.15,2.92,2.175,433
2020-02-22,0.3,1.96,0.84,0.6,1.14,0.343,451
2020-02-23,0.45,3.66,0.91,0.73,1.18,0.552,450
2020-02-24,0.48,9.72,1.14,0.89,2.9,1.415,527
2020-02-25,0.6,6.7,1.27,1,1.78,0.789,467
2020-02-26,0.55,1.52,0.86,0.8,0.99,0.152,411
2020-02-27,0.55,4.26,1.18,0.9,1.68,0.54,554
2020-02-28,0.78,4.7,1.21,1.07,1.65,0.567,559
2020-02-29,0.95,7.41,2.04,1.55,4.11,1.696,564
2020-03-01,0.95,8.5,1.94,1.6,2.56,1.404,570
2020-03-02,1.23,3.58,2.1,1.75,2.41,0.458,495
2020-03-03,1.8,13.9,5.45,4.5,6.62,2.44,426
2020-03-04,0.32,12.36,0.88,0.75,1.14,2.484,571
2020-03-05,0.45,2.66,1.1,0.85,1.52,0.452,568
2020-03-06,0.5,14.24,1.65,1.14,2.45,1.984,560
2020-03-07,2.48,12.32,6.28,5.51,7.76,1.957,575
2020-03-08,3.5,14.32,8.36,7.41,9.65,2.096,574
2020-03-09,1.17,12.75,5.55,2.61,7.98,2.954,568
