date,min,max,pm25,q1,q3,stdev,count
2021-09-28,3,21,12,10,14,3.072,212
2021-09-29,0,17,11,10,13,2.063,587
2021-09-30,0,32,14,8,19,7.171,574
2021-10-01,0,14,4,3,6,3.112,574
2021-10-02,5,45,16,12,30,10.414,569
2021-10-03,19,55,35,32,42,7.241,579
2021-10-04,25,73,37,34,42,5.552,583
2021-10-05,0,42,12,7,22,9.98,587
2021-10-06,1,42,8,4,23,10.602,567
2021-10-07,5,26,12,10,14,3.182,583
2021-10-08,3,26,9,7,15,4.77,580
2021-10-09,7,29,14,12,16,3.107,576
2021-10-10,9,47,17,14,25,8.131,582
2021-10-11,1,88,8,5,24,10.647,587
2021-10-12,0,5,0,0,1,0.811,588
2021-10-13,0,29,1,0,5,4.053,576
2021-10-14,0,14,3,2,4,1.691,573
2021-10-15,0,6,1,0,2,1.318,581
2021-10-16,0,7,0,0,1,0.645,578
2021-10-17,0,3,0,0,0,0.446,579
2021-10-18,0,42,1,0,4,6.416,562
2021-10-19,0,45,6,2,11,9.481,588
2021-10-20,0,16,3,2,5,2.776,566
2021-10-21,0,7,2,0,3,1.627,576
2021-10-22,0,16,0,0,0,0.876,579
2021-10-23,0,23,1,1,7,3.994,577
2021-10-24,0,14,4,2,6,2.719,578
2021-10-25,2,22,10,6,16,5.175,588
2021-10-26,0,32,11,3,22,9.606,575
2021-10-27,0,11,3,2,4,1.931,580
2021-10-28,0,20,4,3,7,3.304,575
2021-10-29,13,103,34,23,43,12.297,585
2021-10-30,27,82,52,42,61,11.624,579
2021-10-31,19,92,45.5,28,67,20.011,570
2021-11-01,15,75,47,39,57,13.86,580
2021-11-02,43,84,60,55,64,6.699,559
2021-11-03,4,72,45,33,55,16.794,569
2021-11-04,0,23,8,5,10,3.698,576
2021-11-05,0,7,2,2,3,1.285,579
2021-11-06,0,12,1,1,3,2.645,575
2022-02-01,1,53,4,3,6,3.337,381
2022-02-02,1,26,8,5,10,4.351,584
2022-02-03,0,26,10,7,13,4.505,583
2022-02-04,0,30,5,2,8,3.564,580
2022-02-05,0,47,2,1,3,2.657,578
2022-02-06,0,49,1,1,2,2.433,584
2022-02-07,0,6,1,0,1,0.943,586
2022-02-08,0,5,1,0,2,1.141,587
2022-02-09,0,6,1,0,2,1.299,581
2022-02-10,0,12,1,1,2,1.056,578
2022-02-11,0,6,1,1,2,0.983,562
2022-02-12,0,7,2,1,3,1.659,563
2022-02-13,3,19,7,6,9,2.892,582
2022-02-14,8,37,21,18,26,5.97,583
2022-02-15,0,30,14,3,17,7.103,587
2022-02-16,0,20,4,2,10,4.77,576
2022-02-17,0,10,2,1,2,1.315,584
2022-02-18,0,10,1,0,3,1.954,571
2022-02-19,0,6,3,2,3,1.347,579
2022-02-20,0,9,4,2,5,1.599,584
2022-02-21,0,7,1,0,2,1.293,576
2022-02-22,0,26,4,3,8,6.281,582
2022-02-23,1,18,5,4,7,3.403,579
2022-02-24,0,11,3,2,5,1.901,585
2022-02-25,0,11,2,1,3,2.321,583
2022-02-26,0,23,1,1,3,2.025,585
2022-02-27,0,8,2,1,2,1.114,579
2022-02-28,0,10,2,2,4,2.105,581
2022-03-01,1,32,7,5,14,7.56,588
2022-03-02,1,25,8,5,17,6.5,574
2022-03-03,0,5,1,0,1,0.906,574
2022-03-04,0,13,1,1,5,2.965,578
2022-03-05,0,15,1,1,3,3.41,582
2022-03-06,0,16,1,0,4,3.676,561
2022-03-07,0,13,1,1,3,1.518,580
2022-03-08,1,14,4,3,6,1.784,570
2022-03-09,2,18,8,5,10,2.89,573
2022-03-10,0,17,7,3,9,3.297,582
2022-03-11,5,29,12,9,20,6.106,585
2022-03-12,3,38,14,8,20,7.665,581
2022-03-13,0,44,26,7,35,14.275,561
2022-03-14,9,89,50,37,64,17.583,579
2022-03-15,30,86,60,47,68,12.412,589
2022-03-16,34,83,54,48,59,8.087,579
2022-03-17,13,55,34,26,42,9.782,583
2022-03-18,1,75,5,3,41,23.223,556
2022-03-19,0,107,3,1,5,6.789,584
2022-03-20,0,22,3,2,6,4.027,579
2022-03-21,18,69,41,28,49,12.145,555
2022-03-22,33,71,47,42,54,8.273,590
2022-03-23,9,63,17,14,24,12.904,577
2022-03-24,8,27,15,13,17,2.478,569
2022-03-25,0,29,17,5,21,8.233,581
2022-03-26,0,26,1,0,2,1.806,584
2022-03-27,0,7,1,1,2,1.23,576
2022-03-28,0,16,1,0,6,4.046,576
2022-03-29,0,11,2,1,3,1.352,576
2022-03-30,0,14,2,1,3,2.32,577
2022-03-31,0,25,7,3,11,5.011,262
2022-04-10,0,2,0,0,0,0.351,235
2022-04-11,0,16,1,0,2,2.994,574
2022-04-12,0,52,1,0,3,2.667,586
2022-04-13,0,61,3,2,4,3.523,578
2022-04-14,1,29,12,7,18,5.797,578
2022-04-15,0,10,1,0,4,2.249,589
2022-04-16,0,11,1,0,2,1.129,590
2022-04-17,0,14,2,1,3,1.94,582
2022-04-18,0,12,4,3,5,2.21,587
2022-04-19,0,8,3,2,4,1.477,582
2022-04-20,1,13,5,4,6,1.607,581
2022-04-21,1,8,4,3,4,1,579
2022-04-22,0,9,2,1,4,1.742,587
2022-04-23,0,54,2,1,3,3.12,578
2022-04-24,0,20,4,3,6,2.841,587
2022-04-25,0,85,4,3,5,3.851,575
2022-04-26,0,11,1,0,2,1.549,574
2022-04-27,0,9,1,0,2,1.175,570
2022-04-28,0,6,1,1,3,1.382,573
2022-04-29,0,9,1,0,2,1.266,580
2022-04-30,0,28,2,1,11,7.029,588
2022-05-01,0,24,2,1,5,6.335,575
2022-05-02,0,7,2,1,3,1.416,567
2022-05-03,0,12,1,0,1,1.06,575
2022-05-04,0,7,1,1,2,1.232,588
2022-05-05,1,10,6,5,7,1.728,579
2022-05-06,1,12,6,4,7,2.028,581
2022-05-07,0,19,2.5,1,10,5.315,588
2022-05-08,0,27,1,0,1,1.375,579
2022-05-09,0,6,2,1,2,1.119,581
2022-05-10,1,20,6,3,11,4.998,574
2022-05-11,1,17,5,4,7,2.537,504
2022-05-12,0,13,1,0,5,3.494,564
2022-05-13,0,10,2,1,3,1.527,579
2022-05-14,0,13,3,2,4,1.587,585
2022-05-15,0,16,0,0,1,1.776,575
2022-05-16,0,5,1,0,1,0.775,577
2022-05-17,0,6,1,1,2,0.953,582
2022-05-18,0,5,2,1,3,1.022,577
2022-05-19,0,18,5,3,8,3.057,585
2022-05-20,4,24,9,6,13,4.179,576
2022-05-21,2,13,5,4,6,1.709,575
2022-05-22,2,15,5,4,7,2.127,585
2022-05-23,2,16,6,5,8,2.718,573
2022-05-24,2,18,7,5,8,2.484,573
2022-05-25,0,24,9,4,15,5.967,579
2022-05-26,0,33,3,2,3,1.996,570
2022-05-27,0,16,1,1,2,1.395,579
2022-05-28,0,30,5,3,7,3.102,575
2022-05-29,0,19,2,1,3,1.539,562
2022-05-30,0,12,3,2,5,1.768,529
2022-05-31,3,21,11,8,14,3.95,543
2022-06-01,1,13,7,5,9,2.256,540
2022-06-02,3,25,9,7,11,2.772,466
2022-06-03,1,24,8,5,10,2.9,494
2022-06-04,0,20,6,4,8,2.557,537
2022-06-05,0,10,4,1,5,2.479,572
2022-06-06,0,4,1,1,2,0.905,463
2022-06-07,1,17,5,3,10,4.286,577
