date,min,max,pm25,q1,q3,stdev,count
2019-12-09,0.2,5.64,1.15,0.47,1.45,0.841,321
2019-12-10,0.3,3.36,0.97,0.75,1.56,0.592,399
2019-12-11,0.36,3.32,1.52,1,1.94,0.637,248
2019-12-12,9.94,17.62,14.44,12.32,15.8,2.056,255
2019-12-13,2.68,16.57,5.86,4.74,10.74,3.79,413
2019-12-14,1.1,11.4,4.11,2.5,6.62,2.517,390
2019-12-15,0.3,8.19,1.9,1.03,2.67,1.324,518
2019-12-16,0.65,6.58,1.73,1.36,2.15,0.844,275
2019-12-17,0.85,7.88,3.84,2.65,5.3,1.656,247
2019-12-18,0.2,11.8,1.03,0.8,1.48,1.605,233
2019-12-19,0.8,7.62,2.94,1.69,4.05,1.666,469
2019-12-20,2.8,26.32,11.7,8.16,17.22,5.648,503
2019-12-21,9.8,35.47,24.44,21.86,28.33,4.602,493
2019-12-22,1.3,9.63,3.51,3,4.2,1.097,554
2019-12-23,1.14,4.75,1.98,1.7,3.13,0.85,463
2019-12-24,1.82,11.84,3.8,3.35,5.79,2.496,549
2019-12-25,0.2,19.64,3.66,2.35,6.67,3.179,569
2019-12-26,0.22,3.38,1.1,0.77,1.67,0.636,567
2019-12-27,0.25,2.5,1.14,0.91,1.39,0.378,571
2019-12-28,0.76,6.14,1.48,1.32,1.75,0.68,407
2019-12-29,1.38,12.74,4.88,2.6,7.41,2.922,524
2019-12-30,0.72,10.26,2.54,1.88,3.27,2.067,435
2019-12-31,0.1,18.23,0.55,0.35,0.68,1.594,546
2020-01-01,0.5,10.13,0.86,0.75,0.95,0.732,220
2020-01-02,2.45,8.02,5.42,4.75,6.23,0.969,105
2020-01-03,0.22,5.08,0.64,0.42,1.54,1.143,238
2020-01-04,0.2,1.42,0.73,0.5,1.03,0.306,154
2020-01-05,0.4,2.42,0.85,0.7,1,0.253,288
2020-01-06,0.25,4.2,1.45,1.14,1.79,0.692,117
2020-01-07,0.2,8.67,2.93,0.52,4.73,2.307,217
2020-01-08,0.83,3.3,1.5,1.34,1.67,0.359,181
2020-01-09,1.18,4.05,2.2,1.86,2.94,0.701,445
2020-01-10,0.45,5.79,1.95,1.4,3.44,1.367,395
2020-01-11,0.3,5.25,2,1.05,2.25,0.827,310
2020-01-12,0.1,24.58,0.9,0.4,1.22,1.95,418
2020-01-13,0.72,3.2,1.53,1.28,1.87,0.394,436
2020-01-14,1.15,8.88,2.5,1.67,3.64,1.412,404
2020-01-15,0.32,4.41,1.14,0.76,1.89,0.807,299
2020-01-16,0.35,3.8,2.08,1.04,2.49,0.803,346
2020-01-17,1.52,15.42,10.36,2.06,12.31,4.851,372
2020-01-18,0.21,21.99,10.13,0.65,13.62,6.31,454
2020-01-19,0.18,1,0.62,0.55,0.7,0.132,408
2020-01-20,0.4,8.72,1.21,0.98,1.47,0.707,340
2020-01-21,0.25,2.64,1.02,0.66,1.78,0.627,441
2020-01-22,0.2,0.52,0.35,0.3,0.45,0.091,14
2020-01-23,0.53,2.42,0.97,0.73,1.3,0.424,85
2020-01-24,0.4,2.16,1,0.87,1.13,0.233,236
2020-01-25,0.4,17.53,0.72,0.6,1.21,1.176,294
2020-01-26,0.43,2.02,0.9,0.74,1.27,0.371,285
2020-01-27,1.88,12.98,4.78,3.63,6.5,2.527,257
2020-01-28,2.12,13.04,7.75,5.86,8.86,2.466,279
2020-01-29,0.49,7.62,3.09,1.26,4.36,1.891,309
2020-01-30,1,7.55,3.49,2.02,4.8,1.446,291
2020-01-31,0.24,6.94,0.95,0.55,2.15,1.365,287
2020-02-01,0.2,3.25,1.73,1.2,2,0.612,326
2020-02-02,0.1,1.5,0.35,0.28,0.51,0.246,337
2020-02-03,0.2,3.78,0.62,0.4,1.44,0.943,317
2020-02-04,0.23,2.62,0.84,0.6,1.76,0.675,259
2020-02-05,0.25,0.97,0.53,0.45,0.65,0.141,196
2020-02-06,0.1,6.45,0.55,0.35,0.85,0.576,235
2020-02-07,0.67,4.57,2.25,1.8,2.92,0.914,211
2020-02-08,0.75,6.24,2.35,1.44,3.4,1.266,195
2020-02-09,1.6,14.24,7.36,4.59,9.72,2.925,334
2020-02-10,0.24,4.59,1.08,0.76,1.38,0.748,342
2020-02-11,0.57,2.5,1.39,1.14,1.6,0.332,320
2020-02-12,0.3,3.1,0.84,0.56,1.77,0.71,280
2020-02-13,0.25,1.52,0.67,0.55,0.86,0.22,350
2020-02-14,0.46,4.19,1.1,0.85,1.49,0.634,369
2020-02-15,0.8,5.55,2.78,1.54,3.8,1.233,322
2020-02-16,0.3,12.45,1.82,0.72,3.47,2.484,363
2020-02-17,0.25,2.45,1.05,0.74,1.48,0.489,314
2020-02-18,0.5,2.95,1.55,1.21,1.92,0.544,302
2020-02-19,0.3,3.28,0.97,0.7,1.24,0.39,423
2020-02-20,0.3,5.03,1.1,0.85,1.44,0.843,455
2020-02-21,0.25,8.4,1.44,0.82,2.19,1.948,412
2020-02-22,0.1,1.33,0.55,0.35,0.73,0.247,423
2020-02-23,0.2,2.25,0.56,0.44,0.8,0.396,411
2020-02-24,0.23,4.69,0.79,0.57,1.46,0.605,508
2020-02-25,0.28,1.9,0.88,0.62,1.15,0.34,442
2020-02-26,0.3,1.17,0.6,0.5,0.71,0.161,369
2020-02-27,0.2,1.87,0.78,0.61,1.08,0.312,521
2020-02-28,0.25,2.67,0.82,0.64,1.2,0.428,527
2020-02-29,0.7,8.72,1.68,1.34,3.15,1.66,559
2020-03-01,0.57,12.13,1.51,1.18,1.96,2.178,564
2020-03-02,0.9,5.28,1.81,1.5,2.29,0.666,471
2020-03-03,0.98,24.52,4.84,3.67,6.36,4.011,416
2020-03-04,0.26,15.6,1.23,0.74,2.08,3.251,259
2020-03-05,0.25,4.43,0.74,0.52,1.07,0.71,92
2020-03-06,0.25,3.72,1.92,0.84,2.45,0.934,320
2020-03-07,1.14,15.63,5.84,4.09,10,3.654,422
2020-03-08,2.58,18.78,7.16,5.72,12.55,4.267,570
2020-03-09,0.93,17.1,4.94,2.42,8.85,3.794,559
2020-03-10,0.78,18.05,4.46,3.1,8.22,3.87,567
2020-03-11,0.12,3.91,1.64,0.65,2.4,1.01,565
2020-03-12,0.2,5.09,1,0.75,1.46,0.487,509
2020-03-13,0.12,1.18,0.4,0.34,0.55,0.194,505
2020-03-14,0.15,1.76,0.4,0.34,0.64,0.286,499
2020-03-15,1.09,4.65,2.31,1.85,2.73,0.691,273
2020-03-16,0.2,5.82,1.27,0.5,3.94,1.686,543
2020-03-17,0.42,2.75,1.21,0.95,1.67,0.455,554
2020-03-18,0.15,2.9,1.1,0.53,1.94,0.737,512
2020-03-19,0.3,1.83,0.86,0.67,1.04,0.283,555
2020-03-20,0.2,2.72,0.65,0.46,1.07,0.558,481
2020-03-21,0.24,1.5,0.53,0.43,0.72,0.258,489
2020-03-22,0.35,1.8,0.8,0.64,1,0.265,470
2020-03-23,0.28,2.65,0.85,0.65,1.02,0.299,474
2020-03-24,0.85,3.76,1.67,1.42,1.98,0.388,474
2020-03-25,1,6.01,2.52,2.13,3.04,0.757,454
2020-03-26,2.4,10.84,5.56,4.59,6.94,1.567,446
2020-03-27,4.41,10.76,6.61,5.66,8.27,1.396,398
2020-03-28,0.23,1.12,0.6,0.47,0.73,0.173,156
2020-03-29,0.2,1.23,0.45,0.38,0.56,0.162,322
2020-03-30,0.25,1.03,0.45,0.38,0.53,0.14,123
2020-03-31,0.3,1.22,0.65,0.55,0.8,0.159,322
2020-04-01,0.3,1.77,0.74,0.6,0.9,0.256,204
2020-04-02,0.16,2.21,0.95,0.62,1.38,0.48,477
2020-04-03,0.1,1.7,0.45,0.36,0.55,0.165,470
2020-04-04,0.3,9.22,0.56,0.5,0.72,0.771,490
2020-04-05,0.44,11.62,1.35,0.76,2.98,2.383,500
2020-04-06,2.22,14.75,4.44,3.36,6.38,3.078,495
2020-04-07,0.95,15.15,7.18,1.75,9.27,4.016,445
2020-04-08,1.23,3.93,1.9,1.72,2.1,0.316,459
2020-04-09,0.15,2.94,0.6,0.44,0.85,0.59,474
2020-04-10,0.16,1.46,0.4,0.31,0.6,0.315,517
2020-04-11,0.3,3.51,2.23,0.89,2.97,1.05,152
2020-04-12,0.1,8.39,1.8,1.01,3.93,2.201,563
2020-04-13,0.12,0.9,0.46,0.38,0.56,0.152,530
2020-04-14,0.2,1.3,0.56,0.38,0.7,0.196,513
2020-04-15,0.2,3.75,0.56,0.4,0.78,0.425,466
2020-04-16,0.15,1.25,0.4,0.3,0.5,0.2,447
2020-04-17,0.1,1.08,0.45,0.34,0.57,0.17,446
2020-04-18,0.1,1.28,0.56,0.41,0.76,0.26,496
2020-04-19,0.15,2,0.55,0.41,1.05,0.43,518
2020-04-20,0.26,1.89,0.75,0.56,0.92,0.321,444
2020-04-21,0.28,1.98,0.71,0.59,0.88,0.234,354
2020-04-22,0.24,1.1,0.65,0.5,0.77,0.177,391
2020-04-23,0.25,1.59,0.75,0.62,0.92,0.229,427
2020-04-24,0.1,0.82,0.28,0.2,0.38,0.146,518
2020-04-25,0.13,1.35,0.38,0.3,0.52,0.2,516
2020-04-26,0.1,1.75,0.65,0.4,1.1,0.403,549
2020-04-27,0.28,2.08,0.97,0.71,1.45,0.439,486
2020-04-28,0.2,1.42,0.74,0.62,0.9,0.219,358
2020-04-29,0.28,3.76,0.84,0.65,1.6,0.771,464
2020-04-30,0.72,7.92,1.92,1.46,3.08,1.724,513
2020-05-01,1.44,11.82,4.16,2.94,8.26,2.935,520
2020-05-02,0.35,9.69,1.29,0.8,1.72,2.04,518
2020-05-03,0.35,2.62,1.38,0.75,1.87,0.601,532
2020-05-04,0.2,4.18,0.65,0.51,1.23,1.049,487
2020-05-05,0.15,2.42,0.6,0.43,0.9,0.391,449
2020-05-06,0.4,1.87,0.88,0.7,1.02,0.247,557
2020-05-07,0.25,3.48,0.65,0.53,0.77,0.327,382
2020-05-08,0.65,4.28,2.15,1.49,2.83,0.819,337
2020-05-09,0.15,1.95,0.45,0.3,0.6,0.314,325
2020-05-10,0.13,5.61,2.4,1.4,4.17,1.49,216
2020-05-11,0.15,0.99,0.37,0.3,0.46,0.142,351
2020-05-12,0.22,6.52,0.56,0.5,0.68,0.41,481
2020-05-13,0.1,1.35,0.52,0.35,0.72,0.26,479
2020-05-14,0.38,2.2,0.82,0.6,1,0.337,449
2020-05-15,0.3,3.24,0.75,0.6,0.88,0.288,540
2020-05-16,0.25,5.69,0.5,0.44,0.6,0.418,338
2020-05-17,0.15,2.42,0.55,0.28,0.8,0.321,536
2020-05-18,0.12,2.15,0.46,0.3,0.77,0.388,469
2020-05-19,0.21,1.64,0.56,0.48,0.78,0.263,542
2020-05-20,0.2,1.9,0.6,0.43,1.02,0.335,554
2020-05-21,0.2,2.29,0.95,0.62,1.31,0.439,515
2020-05-22,0.39,2.52,1.59,1.2,1.81,0.402,527
2020-05-23,0.55,8.18,1.7,1.25,3.76,2.039,493
2020-05-24,1.12,10.25,2.78,2,3.92,1.34,522
2020-05-25,0.43,9.69,1.75,1.4,2.2,1.669,535
2020-05-26,0.73,10.6,1.7,1.5,2.27,0.668,475
2020-05-27,0.47,2.8,1.7,1.32,2.04,0.464,480
2020-05-28,0.13,3.1,0.7,0.43,1,0.624,512
2020-05-29,0.1,2.52,0.62,0.5,1.35,0.537,479
2020-05-30,0.1,2,0.4,0.22,0.5,0.332,482
2020-05-31,0.1,1.05,0.3,0.25,0.4,0.133,483
2020-06-01,0.2,5.43,0.9,0.5,1.27,0.573,455
2020-06-02,0.3,2.45,1.1,0.9,1.3,0.36,519
2020-06-03,0.62,5.5,1.5,1.2,1.89,1.077,428
2020-06-04,1.1,7.57,2.6,1.92,3.2,1.172,482
2020-06-05,2.02,8.48,3.76,3.15,4.53,1.016,258
2020-06-06,0.2,5.2,1.12,0.62,2.4,1.284,469
2020-06-07,0.5,3.67,1.14,0.93,1.42,0.377,518
2020-06-08,0.62,2.78,1.33,1.14,1.9,0.467,496
2020-06-09,0.6,3.55,1.5,1.2,2.4,0.713,436
2020-06-10,0.2,2.97,0.5,0.4,0.6,0.277,513
2020-06-11,0.1,2.22,0.56,0.43,0.7,0.196,547
2020-06-12,0.4,2.78,1.55,1.3,1.8,0.403,567
2020-06-13,0.47,2.2,1.2,1,1.45,0.344,544
2020-06-14,0.3,2.7,1.3,0.9,1.6,0.448,343
2020-06-15,0.45,2.4,1.37,1.1,1.6,0.383,561
2020-06-16,0.56,8.32,2.45,2,3.05,1.521,563
2020-06-17,0.77,8,1.77,1.45,2.22,0.692,550
2020-06-18,0.2,3.65,0.5,0.4,0.65,0.653,518
2020-06-19,0.1,0.85,0.37,0.3,0.49,0.135,485
2020-06-20,0.2,1.05,0.6,0.4,0.7,0.201,566
2020-06-21,0.13,0.88,0.37,0.3,0.4,0.104,581
2020-06-22,0.1,0.77,0.3,0.3,0.4,0.107,556
2020-06-23,0.28,1.67,0.7,0.6,0.88,0.225,567
2020-06-24,0.4,1.6,0.9,0.8,1.02,0.185,584
2020-06-25,0.48,1.75,0.95,0.8,1.12,0.22,565
2020-06-26,0.5,2.7,0.9,0.76,1.1,0.304,565
2020-06-27,0.4,2.7,1,0.8,1.5,0.456,512
2020-06-28,0.73,2.95,1.4,1.2,1.67,0.439,442
2020-06-29,0.3,3.12,0.8,0.68,1.21,0.554,464
2020-06-30,0.1,3.25,0.6,0.5,0.8,0.301,460
2020-07-01,0.2,1.05,0.45,0.4,0.52,0.13,428
2020-07-02,0.2,1.65,0.47,0.4,0.56,0.164,387
2020-07-03,0.1,1.87,0.4,0.3,0.6,0.245,441
2020-07-04,0.1,3.9,0.4,0.3,0.5,0.227,448
2020-07-05,0.25,2.33,0.6,0.5,0.82,0.295,465
2020-07-06,0.25,6.32,0.6,0.5,0.7,0.506,265
2020-07-07,0.1,2.1,0.22,0.2,0.3,0.149,387
2020-07-08,0.1,3.33,0.3,0.3,0.4,0.228,439
2020-07-09,0,1.5,0.2,0.1,0.4,0.183,458
2020-07-10,0.1,3.22,0.4,0.3,0.7,0.416,323
2020-07-11,0.1,1.3,0.4,0.3,0.6,0.183,308
2020-07-12,0.1,3.55,0.3,0.2,0.4,0.24,381
2020-07-13,0.1,2,0.3,0.3,0.5,0.367,407
2020-07-14,0.2,4.8,0.65,0.5,0.82,0.36,431
2020-07-15,0.3,2.5,0.7,0.5,1.2,0.506,349
2020-07-16,0.2,33.7,0.56,0.4,2.25,5.127,326
2020-07-17,0.2,1.27,0.5,0.4,0.6,0.162,470
2020-07-18,0.2,1.7,0.55,0.4,0.84,0.317,417
2020-07-19,0.2,2.25,0.92,0.4,1.7,0.676,168
2020-07-20,0.22,2.62,0.77,0.6,0.95,0.364,170
2020-07-21,0.1,0.5,0.2,0.2,0.22,0.071,147
2020-07-22,0,0.5,0.2,0.1,0.2,0.073,271
2020-07-23,0,3.33,0.14,0.1,0.2,0.21,302
2020-07-24,0,1.9,0.2,0.1,0.28,0.179,383
2020-07-25,0.1,1,0.2,0.2,0.6,0.26,80
2020-07-26,0.15,1.55,0.4,0.3,0.6,0.224,437
2020-07-27,0.3,2.67,0.88,0.7,1.25,0.491,280
2020-07-28,0.4,4.12,0.9,0.6,2,0.917,425
2020-07-29,0.2,3.6,0.6,0.4,0.85,0.568,331
2020-07-30,0.15,1.37,0.5,0.35,0.7,0.212,414
2020-07-31,0.13,2.17,0.6,0.4,1,0.429,416
2020-08-01,0.3,2.4,0.8,0.6,1.2,0.496,419
2020-08-02,0.2,2.17,0.9,0.5,1.37,0.479,420
2020-08-03,0.2,2.35,0.6,0.5,0.77,0.249,413
2020-08-04,0,2.27,0.3,0.2,0.4,0.187,471
2020-08-05,0.2,1.27,0.5,0.43,0.62,0.173,505
2020-08-06,0.28,2.62,0.6,0.5,0.9,0.315,389
2020-08-07,0.2,2.33,0.7,0.5,1.08,0.393,523
2020-08-08,0.25,6.35,0.7,0.5,1.12,0.52,466
2020-08-09,0.1,2.1,0.6,0.4,1.1,0.472,525
2020-08-10,0.1,1.25,0.4,0.3,0.47,0.143,528
2020-08-11,0.17,1.67,0.49,0.32,0.6,0.23,530
2020-08-12,0.28,6.97,0.6,0.5,0.8,0.457,538
2020-08-13,0.5,2.6,1,0.82,1.32,0.43,537
2020-08-14,0.7,2.4,1.3,1.05,1.6,0.388,481
2020-08-15,0.62,4.3,1.4,1,1.73,0.475,544
2020-08-16,0.2,2.78,1.3,0.4,2,0.823,538
2020-08-17,0.35,3.47,0.9,0.7,1.7,0.691,536
2020-08-18,0.7,22.92,1.2,1,1.58,1.234,530
2020-08-19,0.68,5.8,1.1,0.92,1.51,1.058,528
2020-08-20,0.4,3.5,1,0.8,1.2,0.476,527
2020-08-21,0.6,69.18,1.33,1,2,9.583,522
2020-08-22,0.5,3.1,1.1,0.9,1.4,0.416,477
2020-08-23,0.4,2.83,0.75,0.6,0.94,0.284,504
2020-08-24,0.13,5.75,0.5,0.3,0.88,0.457,436
2020-08-25,0.1,1.6,0.3,0.28,0.4,0.133,445
2020-08-26,0.1,2.04,0.3,0.2,0.37,0.214,453
2020-08-27,0.1,1.4,0.3,0.2,0.37,0.191,523
2020-08-28,0,1.33,0.3,0.2,0.5,0.245,468
2020-08-29,0.1,1.08,0.47,0.35,0.6,0.173,470
2020-08-30,0.13,4.25,0.5,0.3,0.75,0.446,438
2020-08-31,0.1,1.4,0.3,0.2,0.4,0.199,436
2020-09-01,0.2,1.08,0.5,0.4,0.7,0.198,400
2020-09-02,0.25,1.8,0.6,0.5,0.8,0.269,461
2020-09-03,0.6,3.4,1.7,1.3,2.29,0.634,464
2020-09-04,0.3,2.95,1.05,0.8,1.33,0.429,469
2020-09-05,0.3,2.22,0.85,0.6,1.08,0.298,478
2020-09-06,0.2,5.35,0.5,0.4,0.7,0.453,450
2020-09-07,0.1,2.1,0.32,0.2,0.55,0.287,395
2020-09-08,0.1,2.6,0.4,0.3,0.56,0.3,382
2020-09-09,0.1,5.09,1.1,0.4,1.45,0.718,407
2020-09-10,0.1,5.05,0.2,0.1,0.3,0.543,343
2020-09-11,0.1,3.1,0.5,0.3,0.7,0.331,314
2020-09-12,0.5,2.62,1.3,1.13,1.52,0.39,292
2020-09-13,0.3,2.8,1.21,1,1.4,0.381,168
2020-09-14,0.2,1.73,0.87,0.5,1.1,0.358,172
2020-09-15,1,2.78,1.57,1.4,1.8,0.337,166
2020-09-16,0.1,0.37,0.2,0.2,0.28,0.053,37
2020-09-17,0.1,0.6,0.3,0.2,0.4,0.108,145
2020-09-18,0.2,1.2,0.5,0.4,0.6,0.17,327
2020-09-19,0.2,1.85,0.5,0.4,0.7,0.289,316
2020-09-20,0.3,1.85,0.75,0.6,0.85,0.208,241
2020-09-21,0.4,1.5,0.88,0.7,1,0.225,137
2020-09-22,0.47,26.2,1.1,0.7,5.18,3.838,87
2020-09-23,1.27,18.55,4.2,2.04,7.9,4.717,375
2020-09-24,2.1,44.5,5.96,3.3,8.13,6.313,430
2020-09-25,0.3,3.85,1.7,1.09,2.4,0.721,333
2020-09-26,1.67,7.43,4.78,3.67,5.6,1.177,247
2020-09-27,0.98,9.05,3.97,2.7,6.03,1.88,173
2020-09-28,1.02,7.47,2.5,2.06,3.84,1.544,100
2020-09-29,0.7,14.02,1.2,1,1.8,1.871,115
2020-09-30,0.5,16.77,2.95,1.2,4.12,2.397,343
2020-10-01,0.5,4.97,1.75,1.25,2.35,0.883,304
2020-10-02,2.08,7.68,4.87,3.72,5.82,1.308,283
2020-10-03,2.37,9.52,5.4,4.05,6.61,1.622,261
2020-10-04,2.17,10.18,5.95,4.98,7.27,1.565,317
2020-10-05,0.25,5.7,1,0.5,1.92,1.076,319
2020-10-06,0.4,74.31,1.42,1,4.79,10.852,296
2020-10-07,0.32,2.87,1,0.8,1.36,0.407,268
2020-10-08,0.3,2.2,0.82,0.7,1.25,0.418,317
2020-10-09,0.2,2.95,0.7,0.5,0.9,0.414,353
2020-10-10,0.2,3.22,0.9,0.68,1.14,0.409,419
2020-10-11,0.2,1.42,0.5,0.4,0.6,0.149,421
2020-10-12,0.1,1.12,0.3,0.25,0.4,0.13,172
2020-10-13,0.1,0.77,0.3,0.2,0.3,0.093,293
2020-10-14,0.1,0.8,0.2,0.2,0.3,0.093,393
2020-10-15,0.1,0.56,0.2,0.2,0.3,0.082,208
2020-10-16,0.5,2.04,1.33,1.12,1.59,0.356,61
2020-10-17,0.2,0.7,0.4,0.3,0.5,0.122,41
2020-10-18,0.2,0.47,0.23,0.2,0.3,0.068,39
2020-10-19,0.1,0.65,0.3,0.2,0.4,0.105,335
2020-10-20,0.2,3.6,0.5,0.4,0.8,0.465,362
2020-10-21,2.9,7.5,5.53,4.9,6.2,0.973,121
2020-10-22,0.2,7.07,0.8,0.5,1.8,1.355,405
2020-10-23,0.1,1.8,0.6,0.2,0.9,0.412,304
2020-10-24,0.3,5.53,0.8,0.7,1.05,0.436,419
2020-10-25,0.2,4.18,1.65,0.85,2.15,0.839,441
2020-10-26,0.4,13.25,2.42,1.3,5.78,3.698,463
2020-10-27,0.5,13.62,1.44,0.9,2.29,3.917,338
2020-10-28,0.7,2.67,1.23,1.02,1.61,0.405,273
2020-10-29,1.1,4.65,2.25,1.8,2.7,0.701,357
2020-10-30,1.1,15.25,3.42,2.4,4.19,2.505,380
2020-10-31,0.7,7.4,1.77,1.2,2.6,1.159,445
2020-11-01,0.4,6.55,2.5,0.9,4.32,1.814,476
2020-11-02,0.3,6.97,1.5,0.9,2.6,1.634,410
2020-11-03,0.3,2.37,0.77,0.62,0.93,0.329,322
2020-11-04,0.4,2,1,0.75,1.2,0.294,353
2020-11-05,0.2,3.25,0.5,0.4,0.68,0.259,241
2020-11-06,0.2,1.77,0.4,0.3,0.6,0.229,275
2020-11-07,0.2,6.53,0.8,0.51,1.14,0.601,368
2020-11-08,0.2,2.29,0.7,0.4,1.1,0.471,317
2020-11-09,0.3,2,0.8,0.6,1.12,0.379,280
2020-11-10,0.63,3.72,1.2,1,1.5,0.508,334
2020-11-11,0.88,10.48,2.52,1.4,4.3,1.46,311
2020-11-12,3.97,10.3,5.9,4.7,8.52,1.918,283
2020-11-13,2.04,7,4.07,3.17,4.93,1.141,287
2020-11-14,0.9,6.97,3.2,2.25,4.78,1.602,281
2020-11-15,2.27,14.8,5.47,3.7,8.57,3.432,279
2020-11-16,1.23,13.02,5.65,3.52,8.51,3.352,269
2020-11-17,0.2,4.22,0.88,0.68,1.1,0.375,310
2020-11-18,0.13,5.05,0.7,0.3,0.93,0.532,318
2020-11-19,0.1,1.63,0.5,0.3,0.95,0.38,294
2020-11-20,0.1,0.83,0.3,0.25,0.4,0.146,287
2020-11-21,0.2,1.25,0.47,0.4,0.6,0.196,298
2020-11-22,0.3,1.8,0.82,0.7,1.05,0.242,146
2020-11-23,0.2,0.65,0.3,0.22,0.3,0.082,50
2020-11-24,0.55,2.7,1.17,0.9,1.48,0.484,127
2020-11-25,0.3,3.17,1.45,1.1,1.85,0.641,211
2020-11-27,0.27,1,0.6,0.5,0.7,0.152,84
2020-11-28,0.2,1.9,0.5,0.4,0.7,0.268,264
2020-11-29,0.4,3.67,1.7,1.19,2.67,0.853,208
2020-11-30,0.63,4.47,2.17,1.5,2.7,0.849,257
2020-12-01,0.6,8.05,1.5,1.1,2.2,1.065,249
2020-12-02,0.43,4.82,2.5,2,3.1,1.026,277
2020-12-03,1.27,5.22,2.4,2,3,0.766,175
2020-12-04,0.6,5.4,1.9,1.23,2.97,1.06,166
2020-12-05,2.63,9.93,6.45,5.93,7.05,1.272,249
2020-12-06,2.97,9.52,6.7,5.13,7.87,1.552,337
2020-12-07,0.6,7.15,1.7,1.33,2.96,1.635,285
2020-12-08,0.85,3.87,2,1.64,2.35,0.54,284
2020-12-09,1,5.3,2.78,1.9,3.4,1,213
2020-12-10,0.73,4.63,2.63,1.83,3.7,1.02,263
2020-12-11,0.6,8.05,2.31,1.8,4.92,2.009,280
2020-12-12,1.48,6.68,3.95,3.2,4.79,1.213,193
2020-12-13,0.67,8.27,2.49,1.6,6.25,2.351,302
2020-12-14,0.63,4,1.7,1.45,2,0.568,286
2020-12-15,1.58,7.57,3.28,2.47,4.45,1.257,306
2020-12-16,0.2,5.13,0.7,0.43,1.3,1.156,311
2020-12-17,0.8,2.45,1.5,1.3,1.7,0.295,281
2020-12-18,0.1,2.7,0.8,0.3,1.33,0.579,307
2020-12-19,1.4,5.3,2.6,2.4,3.1,0.666,288
2020-12-20,1.1,10.25,4.43,3,5.95,2.121,297
2020-12-21,0.88,2.29,1.38,1.2,1.52,0.259,179
2020-12-22,0.4,4.28,1.5,1.2,2.1,0.696,266
2020-12-23,0.2,2.67,0.5,0.4,0.63,0.228,306
2020-12-24,0.2,1,0.43,0.39,0.56,0.151,284
2020-12-25,0.2,1.07,0.33,0.3,0.5,0.155,308
2020-12-26,0.3,5.7,0.7,0.6,0.99,0.71,292
2020-12-27,0.2,2.7,1.05,0.6,1.48,0.558,300
2020-12-28,0.4,3.1,1.8,1.58,2.08,0.476,270
2020-12-29,0.38,3.95,1.47,1,2.13,0.761,242
2020-12-30,0.13,1.6,0.6,0.4,0.7,0.257,159
2020-12-31,0.73,0.8,0.77,0.73,0.8,0.035,2
2021-01-01,0.6,2.52,1.2,1,1.39,0.389,96
2021-01-02,0.2,2.47,1,0.74,1.2,0.406,208
2021-01-03,0.2,0.87,0.4,0.3,0.5,0.15,284
2021-01-04,0.2,1.57,0.6,0.47,0.77,0.219,281
2021-01-05,0.2,0.97,0.5,0.4,0.56,0.125,242
2021-01-06,0.3,1.23,0.7,0.6,0.8,0.159,195
2021-01-07,0.2,1.5,0.5,0.4,0.7,0.286,183
2021-01-08,0.3,2.6,0.89,0.56,1.2,0.44,266
2021-01-09,0.43,7.73,1.5,0.93,3.33,1.682,260
2021-01-10,0.2,3.5,0.79,0.6,1,0.651,144
2021-01-11,0.1,0.93,0.2,0.1,0.4,0.233,133
2021-01-12,0.1,0.3,0.1,0.1,0.1,0.039,115
2021-01-13,0.1,4.17,1.4,1.03,2.84,1.103,144
2021-01-14,0.5,3.93,1.12,0.9,1.93,0.784,199
2021-01-15,0.4,1.8,0.9,0.73,1.1,0.274,286
