date,min,max,pm25,q1,q3,stdev,count
2019-12-09,0.2,2.12,1.14,0.55,1.48,0.496,308
2019-12-10,0.43,3.44,1.2,0.92,1.76,0.629,411
2019-12-11,0.44,4.38,2,1.57,2.83,0.896,426
2019-12-12,0.66,28.92,18.39,2.5,21.43,9.478,492
2019-12-13,3.38,59.44,10.95,7.91,15.36,6.874,569
2019-12-14,1.8,19.2,7.26,4.18,10.81,4.538,398
2019-12-15,0.53,10.35,2.58,1.52,4.2,2.513,574
2019-12-16,0.82,5.04,1.71,1.44,2.94,1.054,286
2019-12-17,2.04,13.52,5.39,4.13,8.11,3.209,292
2019-12-18,0.05,5.9,1.08,0.77,1.95,1.341,468
2019-12-19,1.04,13.75,3.13,1.85,6.27,3.154,547
2019-12-20,4.59,40.88,21.38,14.51,29.32,9.276,577
2019-12-21,15.57,53.58,40,37.03,46.44,7.17,556
2019-12-22,1.12,18.48,6.39,4.11,7.54,2.661,564
2019-12-23,1.66,7.48,3.54,2.65,5.55,1.599,485
2019-12-25,0.82,9.55,7.1,3.59,8.11,2.704,337
2019-12-26,0.65,4.73,2.44,1.65,3.23,0.982,581
2019-12-27,0.45,3.96,2.38,1.62,2.72,0.773,568
2019-12-28,1.51,4.42,2.5,2.15,2.88,0.557,583
2019-12-29,1.7,18.05,6.78,3.86,10.15,4.105,583
2019-12-30,0.82,13.1,3.08,2.44,4.01,2.243,576
2019-12-31,0.1,41.42,0.55,0.35,0.78,3.194,560
2020-01-01,0.45,4.05,1.1,0.85,1.9,0.715,567
2020-01-02,1.42,9.69,5.55,4.05,6.85,1.974,563
2020-01-03,0.24,5.82,0.64,0.49,1.12,1.01,547
2020-01-04,0.12,1.6,0.55,0.37,0.8,0.294,551
2020-01-05,0.42,2.1,0.85,0.72,1.03,0.248,557
2020-01-06,0.4,3.18,2.1,1.65,2.34,0.571,520
2020-01-07,0.22,11.08,3.73,0.7,6.47,3.14,514
2020-01-08,0.38,3.68,2,1.72,2.25,0.478,497
2020-01-09,1.36,6.68,2.8,2.37,3.71,1.063,524
2020-01-10,1.55,10.22,3.19,2.43,4.65,1.985,428
2020-01-11,0.26,5.46,1.75,1,2.5,0.895,508
2020-01-12,0.1,2.4,1.21,0.43,1.5,0.591,552
2020-01-13,0.9,3.6,1.8,1.54,2.18,0.469,481
2020-01-14,1.52,16.55,3.72,2.22,6,2.84,435
2020-01-15,0.18,7.95,1.14,0.9,1.98,1.38,444
2020-01-16,0.44,4.19,2.58,1.76,3.15,0.95,475
2020-01-17,1.7,24.6,6.88,2.67,18.17,7.785,465
2020-01-18,0.2,29.44,11.42,0.77,19.18,8.94,493
2020-01-19,0.25,1.17,0.7,0.57,0.82,0.177,468
2020-01-20,0.4,2.9,1.35,1.1,1.68,0.515,361
2020-01-21,0.26,3.86,1.05,0.6,2.27,0.905,459
2020-01-22,0.2,0.43,0.32,0.26,0.4,0.07,15
2020-01-23,0.55,1.95,1.05,0.76,1.35,0.361,83
2020-01-24,0.63,1.96,1.14,0.95,1.35,0.265,266
2020-01-25,0.3,2.4,0.8,0.65,1.37,0.523,303
2020-01-26,0.5,2.6,1.1,0.85,1.6,0.503,305
2020-01-27,1.84,18.98,7.4,5.44,10.18,3.885,256
2020-01-28,3.55,22.05,12.27,9.13,14.22,4.146,272
2020-01-29,0.86,23.55,5.38,2.29,9.35,5.091,309
2020-01-30,0.75,26.4,4.98,2.73,15.22,6.711,288
2020-01-31,0.2,6.82,1.88,0.68,3.64,1.857,287
2020-02-01,0.42,4.67,2.13,1.33,2.85,0.952,321
2020-02-02,0.14,1.7,0.38,0.28,0.66,0.328,335
2020-02-03,0.18,4.42,0.89,0.4,2.15,1.221,314
2020-02-04,0.65,6.08,1.67,1.14,2.95,1.059,258
2020-02-05,0.2,1.32,0.53,0.43,0.65,0.188,238
2020-02-06,0.2,4.43,1.14,0.5,1.95,0.809,234
2020-02-07,0.7,6.96,2.83,2.02,3.63,1.176,216
2020-02-08,0.75,8.13,2.47,1.74,4.12,1.667,196
2020-02-09,3.22,20.57,10.25,7.72,13.87,3.93,369
2020-02-10,0.2,5.36,1.22,0.94,1.67,1.135,375
2020-02-11,0.57,2.86,1.75,1.42,2.1,0.451,355
2020-02-12,0.26,4.63,0.91,0.65,2.34,1.026,376
2020-02-13,0.4,2.1,0.72,0.6,1.02,0.306,374
2020-02-14,0.64,246.65,1.51,1.1,1.98,12.885,375
2020-02-15,1.2,7.18,3.08,2.12,4.18,1.482,319
2020-02-16,0.2,16.92,2.64,0.83,5.32,3.94,377
2020-02-17,0.15,2.85,1.42,0.95,1.9,0.625,354
2020-02-18,0.5,3.46,2.02,1.3,2.46,0.726,309
2020-02-19,0.48,2.29,1.3,1,1.54,0.382,449
2020-02-20,0.53,8.42,1.7,1.25,2.54,1.583,493
2020-02-21,0.25,11.72,1.73,0.9,2.81,3.244,428
2020-02-22,0.1,3.15,0.56,0.36,0.84,0.347,455
2020-02-23,0.15,2.64,0.56,0.4,1.06,0.54,448
2020-02-24,0.3,3.75,0.89,0.68,1.2,0.57,519
2020-02-25,0.4,2.54,1.12,0.8,1.56,0.48,461
2020-02-26,0.4,1.7,0.75,0.65,0.88,0.185,404
2020-02-27,0.4,2.58,1.1,0.72,1.56,0.501,550
2020-02-28,0.55,2.25,1.12,0.95,1.35,0.322,556
2020-02-29,0.85,10.59,2.38,1.68,4.75,2.371,568
2020-03-01,0.68,14.52,2.06,1.5,2.65,2.792,572
2020-03-02,1.08,5.53,2.33,2,2.84,0.921,484
2020-03-03,2.13,23.8,6.7,5.19,8.78,4.391,413
2020-03-04,0.25,21.29,1.12,0.79,1.7,4.23,570
2020-03-05,0.36,4.73,1.28,0.91,2.45,1.04,571
2020-03-06,0.3,6,1.95,1.12,2.75,1.247,566
2020-03-07,3.42,21.37,6.38,4.82,14.45,5.428,575
2020-03-08,4.4,28.22,10.32,8.72,14.39,6.188,576
2020-03-09,0.89,17.32,6.34,2.29,12.36,5.009,570
2020-03-10,1.2,23.17,6.97,4.18,11.8,5.569,576
2020-03-11,0.1,5.36,2.38,0.63,3.34,1.492,577
2020-03-12,0.55,2.72,1.34,1,1.9,0.523,515
2020-03-13,0.1,1.94,0.65,0.52,0.85,0.283,540
2020-03-14,0.1,2.27,0.5,0.33,0.78,0.388,467
2020-03-15,1.64,5.6,3.3,2.62,3.94,0.897,288
2020-03-16,0.41,7.68,1.4,1,3.65,2.052,577
2020-03-17,0.64,3.23,1.35,1.1,1.82,0.569,575
2020-03-18,0.15,3.5,1.42,0.6,2.47,0.926,510
2020-03-19,0.41,3.77,1.01,0.81,1.23,0.382,559
2020-03-20,0.42,2.54,1.04,0.84,1.54,0.474,479
2020-03-21,0.3,4.61,0.83,0.66,1.05,0.423,499
2020-03-22,0.35,2.54,0.9,0.75,1.21,0.361,483
2020-03-23,0.3,1.8,0.9,0.72,1.06,0.257,465
2020-03-24,0.93,3.58,1.85,1.58,2.2,0.461,479
2020-03-25,1.1,5.18,2.93,2.4,3.56,0.816,467
2020-03-26,2.29,11.24,6.72,5.88,9.22,2.054,455
2020-03-27,5.28,19.66,8.21,7,10.98,2.129,414
2020-03-28,0.3,1.6,0.8,0.62,0.94,0.236,179
2020-03-29,0.3,1.32,0.6,0.5,0.7,0.17,362
2020-03-30,0.3,1.63,0.6,0.53,0.75,0.212,134
2020-03-31,0.25,1.36,0.69,0.56,0.8,0.174,334
2020-04-01,0.26,1.98,0.75,0.6,0.94,0.319,212
2020-04-02,0.2,2.5,1.1,0.75,1.6,0.55,467
2020-04-03,0.22,2.74,0.51,0.4,0.65,0.221,506
2020-04-04,0.3,2.04,0.6,0.5,0.75,0.317,539
2020-04-05,0.46,15.12,1.22,0.75,3.47,3.087,546
2020-04-06,2.18,16.45,5.26,3.93,8.32,3.756,488
2020-04-07,1.2,19.75,8.52,2,10.54,5.131,451
2020-04-08,1.14,3.77,2.17,1.9,2.5,0.401,485
2020-04-09,0.24,16.97,0.66,0.5,0.94,1.283,477
2020-04-10,0.1,3.1,0.4,0.3,0.75,0.461,525
2020-04-11,0.36,3.51,2.04,0.6,3.04,1.131,161
2020-04-12,0,12.16,1.99,0.88,4.25,3.159,586
2020-04-13,0.05,1.27,0.6,0.43,0.75,0.226,582
2020-04-14,0.1,4.42,0.72,0.4,0.92,0.356,570
2020-04-15,0.15,2.25,0.57,0.36,0.87,0.461,523
2020-04-16,0.1,5.12,0.46,0.3,0.69,0.451,519
2020-04-17,0.23,1.77,0.53,0.43,0.64,0.175,575
2020-04-18,0.25,5.92,0.75,0.6,0.92,0.379,582
2020-04-19,0.28,2.59,0.65,0.46,1.35,0.575,564
2020-04-20,0.34,9.35,0.77,0.6,1,0.909,517
2020-04-21,0.38,14.63,0.95,0.75,1.15,1.538,376
2020-04-22,0.46,10.84,0.85,0.74,0.96,0.902,422
2020-04-23,0.48,6.58,0.88,0.75,1.03,0.736,473
2020-04-24,0.12,3.07,0.4,0.3,0.65,0.261,544
2020-04-25,0.05,24.18,0.35,0.27,0.5,2.016,510
2020-04-26,0.1,515.62,0.9,0.55,1.5,30.689,554
2020-04-27,0.5,3.7,1.21,1,1.77,0.653,533
2020-04-28,0.65,2.25,1.13,0.92,1.4,0.35,400
2020-04-29,0.6,5.92,1.35,0.97,1.73,0.815,512
2020-04-30,1.05,8.88,2.72,1.98,5.84,2.291,534
2020-05-01,1.94,16.62,5.8,4.38,11.85,4.221,549
2020-05-02,0.35,12.83,0.85,0.56,1.39,2.826,543
2020-05-03,0.35,999.9,1.3,0.65,1.89,71.513,574
2020-05-04,0.36,6.96,0.86,0.64,1.58,1.578,532
2020-05-05,0.28,507.69,0.75,0.56,1.08,32.176,494
2020-05-06,0.4,8.77,0.86,0.72,1.08,0.522,588
2020-05-07,0.32,999.9,0.8,0.65,0.98,102.873,396
2020-05-08,0.74,5.78,2.13,1.6,2.74,0.897,351
2020-05-09,0.2,999.9,0.64,0.42,0.84,59.82,347
2020-05-10,0.3,7.64,2.84,1.85,4.34,1.87,247
2020-05-11,0.2,1.28,0.53,0.39,0.69,0.227,352
2020-05-12,0.2,1.23,0.56,0.45,0.72,0.203,484
2020-05-13,0.05,7.91,0.66,0.45,0.94,0.66,475
2020-05-14,0.4,5.05,0.75,0.61,1.03,0.4,458
2020-05-15,0.3,5.24,0.74,0.55,0.88,0.406,536
2020-05-16,0.23,1.03,0.46,0.4,0.55,0.112,334
2020-05-17,0.13,1.45,0.5,0.3,0.82,0.315,538
2020-05-18,0.05,1.65,0.35,0.2,0.65,0.36,460
2020-05-19,0.28,7.26,0.75,0.55,1.06,0.515,547
2020-05-20,0.3,2.84,0.76,0.48,1.04,0.434,555
2020-05-21,0.25,4.09,1,0.53,1.64,0.727,519
2020-05-22,0.48,3.69,1.4,1.14,1.88,0.584,544
2020-05-23,0.5,9.6,1.7,1.28,4.59,2.379,507
2020-05-24,1,27.17,3.13,2.29,4.5,1.913,535
2020-05-25,1.1,8.73,1.85,1.6,2.29,1.441,548
2020-05-26,0.45,12.13,1.45,1.2,2.29,0.923,497
2020-05-27,0.8,3.33,1.7,1.33,2.15,0.502,523
2020-05-28,0.17,3.33,0.8,0.5,1.2,0.58,540
2020-05-29,0.3,2.57,0.7,0.55,1.2,0.484,542
2020-05-30,0.1,9.05,0.47,0.32,0.6,0.514,566
2020-05-31,0.1,3.45,0.4,0.3,0.5,0.213,506
2020-06-01,0.13,3.65,0.82,0.6,1,0.378,494
2020-06-02,0.5,2.7,1,0.85,1.23,0.401,532
2020-06-03,0.6,5.15,1.5,1.1,2.1,0.964,459
2020-06-04,0.93,10.6,2.5,1.8,3.13,1.248,534
2020-06-05,1.9,6.93,3.57,2.8,4.72,1.15,452
2020-06-06,0.3,5.5,1.1,0.7,1.84,1.213,493
2020-06-07,0.5,5.7,1.05,0.8,1.3,0.451,541
2020-06-08,0.5,5.12,1.12,0.9,1.52,0.466,530
2020-06-09,0.5,3.97,1,0.8,1.92,0.803,491
2020-06-10,0.2,1.57,0.5,0.4,0.56,0.146,527
2020-06-11,0.2,3.03,0.5,0.4,0.65,0.244,559
2020-06-12,0.47,2.5,1.35,1.08,1.7,0.418,574
2020-06-13,0.5,4.65,1.1,0.87,1.37,0.376,549
2020-06-14,0.4,160.72,1.2,0.8,1.41,13.849,344
2020-06-15,0.65,31.05,1.14,1,1.5,2.013,565
2020-06-16,0.95,7.82,2.87,2.08,3.94,1.364,569
2020-06-17,1.85,8.48,3.5,2.95,4.25,1.272,548
2020-06-18,1.52,19.52,2.8,2.4,4.59,2.213,507
2020-06-19,1,6.85,2.79,1.6,3.58,1.242,488
2020-06-20,0.88,8.4,3.53,1.97,4.7,2.015,580
2020-06-21,0.7,3.85,1.42,1.2,1.67,0.337,582
2020-06-22,0.8,2.97,1.6,1.4,1.8,0.324,558
2020-06-23,0.8,33.85,1.8,1.5,2.25,1.465,568
2020-06-24,1.6,4.34,2.5,2.22,2.92,0.564,586
2020-06-25,1,9,2.8,2.2,3.55,0.844,564
2020-06-26,1.58,14.02,2.52,2.27,2.91,0.795,533
2020-06-27,1.67,7.55,2.8,2.33,3.85,0.979,515
2020-06-28,2.67,7.95,3.85,3.39,4.37,0.965,452
2020-06-29,0.65,15.23,1.8,1.27,6.45,2.983,479
2020-06-30,0.3,6.03,1.5,1.25,1.85,0.571,472
2020-07-01,0.4,23.9,1.1,0.8,1.3,1.625,460
2020-07-02,0.4,3.28,1,0.8,1.2,0.305,455
2020-07-03,0.3,3.78,0.6,0.5,1,0.366,470
2020-07-04,0.1,4.8,0.82,0.6,1.14,0.479,495
2020-07-05,0.37,7.43,1.5,0.95,2.58,1.474,473
2020-07-06,0.3,2.15,0.95,0.75,1.14,0.284,282
2020-07-07,0.1,1.42,0.4,0.3,0.5,0.217,440
2020-07-08,0.1,6.62,0.6,0.43,0.8,0.479,439
2020-07-09,0.1,1.48,0.47,0.2,0.7,0.294,470
2020-07-10,0.2,5.35,0.92,0.6,1.3,0.635,444
2020-07-11,0.25,4.8,0.82,0.62,1.3,0.533,337
2020-07-12,0.13,61.9,0.62,0.43,0.85,2.976,426
