date,min,max,pm25,q1,q3,stdev,count
2019-12-11,1,2.8,1.75,1.38,2,0.418,281
2019-12-12,0.64,23.3,12.57,2.42,19.45,8.483,489
2019-12-13,3.42,16.53,8.1,5.78,13.23,3.933,475
2019-12-14,1.25,13.53,3.72,2.4,5.52,3.125,399
2019-12-15,1.34,6.41,3.16,2.68,4.34,1.066,575
2019-12-16,1.23,5.55,1.91,1.66,2.88,1.036,290
2019-12-17,0.86,8.56,4.34,3.47,5.75,1.925,289
2019-12-18,0.15,3.55,1.07,0.61,1.28,0.607,471
2019-12-19,0.9,10.46,2.94,1.45,7.42,2.901,554
2019-12-20,3.97,23.44,14.12,12.65,15.75,3.578,583
2019-12-21,13.28,38.94,28.02,23.22,35.4,6.521,575
2019-12-22,1.74,20.12,4.01,3.04,5.13,2.478,583
2019-12-23,2.58,17.18,5.62,3.85,7.28,2.468,582
2019-12-24,4,21.76,5.92,5.12,7.49,2.607,588
2019-12-25,1.44,29.08,6.44,3.18,7.86,3.238,587
2019-12-26,1.38,9.08,3.2,2.25,3.99,1.053,584
2019-12-27,0.9,7,2.54,1.88,2.91,0.731,586
2019-12-28,1.44,4.5,2.49,2.15,2.9,0.512,586
2019-12-29,2.56,17.92,6.52,4.55,10.3,3.722,591
2019-12-30,0.95,11.27,3.49,2.42,4.33,1.673,581
2019-12-31,0.09,21.26,0.71,0.46,0.88,1.382,580
2020-01-01,0.55,3.62,1.27,1.03,1.95,0.783,586
2020-01-02,1.94,8.8,4.63,3.65,6,1.524,573
2020-01-03,0.2,3.68,0.82,0.64,1.38,0.666,552
2020-01-04,0.25,3.01,0.7,0.52,0.95,0.345,563
2020-01-05,0.6,2.31,1.13,1,1.3,0.278,563
2020-01-06,0.52,3.67,2.16,1.56,2.72,0.752,529
2020-01-07,0.26,7.8,2.75,0.85,5.2,2.163,520
2020-01-08,0.5,4.09,2.2,1.8,2.58,0.671,511
2020-01-09,1.9,12.92,2.76,2.46,3.96,1.755,524
2020-01-10,1.85,16.13,3.42,2.42,6.84,3.049,421
2020-01-11,0.53,5.82,1.74,1.14,2.9,1.179,529
2020-01-12,0.1,2.57,1.38,0.7,1.62,0.582,567
2020-01-13,1.1,3.97,2.24,1.84,2.75,0.57,481
2020-01-14,1.58,8.55,3.05,2.4,4.34,1.353,445
2020-01-15,0.45,4.18,1.69,1.42,2.12,0.702,457
2020-01-16,0.92,4.98,3.24,2.54,3.76,0.956,483
2020-01-17,1.72,21.54,3.54,2.7,13.75,6.433,467
2020-01-18,0.3,18.55,10.73,1.02,14.5,6.582,498
2020-01-19,0.35,1.66,0.84,0.7,0.99,0.218,465
2020-01-20,0.6,3.28,1.64,1.34,2.16,0.604,359
2020-01-21,0.25,3.88,0.85,0.55,2.65,1.113,462
2020-01-22,0.4,0.7,0.53,0.52,0.62,0.075,16
2020-01-23,0.82,2.1,1.2,1.08,1.53,0.284,89
2020-01-24,0.6,2,1.29,1.08,1.46,0.277,270
2020-01-25,0.4,2.8,0.86,0.66,1.55,0.517,300
2020-01-26,0.74,2.95,1.4,1.14,1.72,0.52,311
2020-01-27,2.13,10.6,5.12,3.34,6.49,2.206,252
2020-01-28,2.04,14.05,7.92,6.8,9.58,2.656,274
2020-01-29,0.88,13.74,3.12,1.76,7.35,3.019,311
