date,min,max,pm25,q1,q3,stdev,count
2021-03-16,0.5,3.9,1.47,0.9,2.7,0.908,87
2021-03-17,0.97,5.8,1.8,1.49,2.38,0.689,249
2021-03-18,0.1,2.9,0.9,0.7,1.62,0.645,241
2021-03-19,0.33,6.23,1,0.8,1.45,0.88,240
2021-03-20,0.56,2.67,1.29,0.9,1.8,0.499,250
2021-03-21,0.2,2.2,0.5,0.4,0.7,0.331,235
2021-03-22,0.1,1.93,0.54,0.4,0.7,0.238,240
2021-03-23,0.4,37.88,1.05,0.9,1.5,2.637,314
2021-03-24,1.7,28.53,4.33,3.59,4.93,2.773,240
2021-03-25,0.93,132.69,2.27,1.9,3.02,8.959,229
2021-03-26,2.45,31.73,8.02,6.17,14.87,8.364,246
2021-03-27,2.23,63.03,31,22.32,43.52,13.021,261
2021-03-28,0.1,38.03,1.83,0.53,3.35,7.546,173
2021-03-29,0.3,36.22,1.3,0.79,6.69,4.142,197
2021-03-30,0.77,45.07,1.93,1.27,2.2,3.793,219
2021-03-31,0.4,31.63,1.12,0.8,2.87,2.497,198
2021-04-01,0.2,19.73,0.68,0.5,0.93,1.729,176
2021-04-02,0.2,3.8,0.67,0.5,0.9,0.43,203
2021-04-03,0.2,3.07,0.6,0.5,0.9,0.358,211
2021-04-04,0.6,3.5,1.63,1,2.42,0.783,209
2021-04-05,0.1,2.83,0.6,0.47,0.83,0.521,171
2021-04-06,0.1,2.13,0.4,0.3,0.5,0.24,240
2021-04-07,0.1,6.9,1,0.7,1.4,0.776,167
2021-04-08,0.33,253.23,1.07,0.75,1.53,18.423,191
2021-04-09,0.3,16.95,1.48,1,2.12,2.064,189
2021-04-10,0.3,26.7,0.75,0.56,1,2.405,170
2021-04-11,0.4,16.63,1.2,0.9,1.6,1.642,138
2021-04-12,0.3,80.83,3.1,0.79,8.19,9.503,125
2021-04-13,0.47,17.73,0.87,0.73,1.03,1.736,134
2021-04-14,0.4,8.4,0.83,0.6,1.5,1.358,135
2021-04-15,0.3,10.8,1.09,0.8,1.4,1.586,120
2021-04-16,0.6,2.67,1.17,1,1.33,0.29,133
2021-04-17,0.7,3.4,1.2,1,1.4,0.318,148
2021-04-18,0.97,12.93,1.4,1.2,1.6,1.155,135
2021-04-19,1.1,5,1.6,1.44,1.8,0.511,129
2021-04-20,0.8,5.7,1.42,1.12,1.8,0.635,127
2021-04-21,0.83,9.4,1.65,1.27,2.4,1.018,122
2021-04-22,0.03,29.93,0.9,0.24,2.12,4.168,120
2021-04-23,0.2,18.87,0.6,0.47,0.7,2.638,111
2021-04-24,0.1,7,0.52,0.4,0.7,1.014,130
2021-04-25,0.3,11.17,0.6,0.5,0.8,1.004,159
2021-04-26,0.5,17.32,0.9,0.8,1.02,1.876,136
2021-04-27,0.6,8.33,0.96,0.8,1.1,0.762,128
2021-04-28,0.5,5.13,1,0.8,1.35,0.666,129
2021-04-29,0.6,4.68,1.2,0.8,2.13,0.929,116
2021-04-30,0.4,14.37,1.1,0.75,1.49,1.698,104
2021-05-01,0.5,3.4,1.12,0.9,1.5,0.478,140
2021-05-02,0.4,4.53,0.86,0.7,1.02,0.414,138
2021-05-03,0.6,3.97,0.9,0.8,1.1,0.432,122
2021-05-04,0.75,8.5,1.67,1.17,6.2,2.579,121
2021-05-05,0.2,18.57,0.6,0.5,2.06,2.257,121
2021-05-06,0.4,16.43,1.23,0.7,2.6,2.481,113
2021-05-07,0.3,24.1,1.4,1.09,1.8,2.557,121
2021-05-08,0.6,23.05,1.85,1.47,2.34,2.532,128
2021-05-09,0.8,31.6,2.4,1.7,6.83,4.897,142
2021-05-10,2.47,37.17,5,3.12,8.09,4.707,133
2021-05-11,1.38,4.9,3.04,2.52,3.63,0.762,122
2021-05-12,1.3,37.93,2.13,1.95,2.62,3.615,117
2021-05-13,1.9,13.07,6.43,3.84,8.43,2.789,144
2021-05-14,1.1,17.77,5.7,1.8,11.83,5.045,133
2021-05-15,0.75,15.48,3.22,2.29,5.03,2.194,146
2021-05-16,1,11.13,1.72,1.37,5.19,2.213,148
2021-05-17,0.38,16.13,2.2,1.23,4.01,2.145,132
2021-05-18,0.6,12.33,1,0.8,4.26,2.454,111
2021-05-19,0.5,9.8,1.14,0.9,1.39,1.027,148
2021-05-20,0.6,32.36,2,1.4,2.29,3.267,150
2021-05-21,0.6,242.3,1.17,0.93,1.77,19.982,145
2021-05-22,0.38,14.87,1.33,1,2.4,1.879,123
2021-05-23,0.5,18.1,1.59,1.2,2.12,1.768,140
2021-05-24,0.6,10.9,2.31,1.49,2.8,1.401,128
2021-05-25,0.56,17.5,2.42,1.1,3.13,1.794,162
2021-05-26,0.47,8.5,1.1,0.8,1.63,0.997,159
2021-05-27,0.13,23.93,0.53,0.4,1.1,3.263,152
2021-05-28,0.6,13.23,5.43,2,7.03,2.699,151
2021-05-29,1,4.47,1.6,1.5,1.79,0.487,133
2021-05-30,1.1,12.53,1.75,1.57,2.02,1.042,170
2021-05-31,0.77,7.65,1.77,1.33,2.38,0.962,133
2021-06-01,0.73,8.27,1.35,1.17,1.64,0.674,169
2021-06-02,1.05,8.83,1.9,1.5,2.29,0.78,150
2021-06-03,1,5.53,1.9,1.52,2.52,0.665,147
2021-06-04,0.8,5.37,2.17,1.8,3.1,0.919,157
2021-06-05,1.1,33.5,2.22,1.5,2.83,2.914,136
2021-06-06,0.9,22.02,2.42,1.8,3.69,1.714,196
2021-06-07,1.77,47.7,3.51,2.92,4,3.438,306
2021-06-08,2.29,19.43,4.9,3.92,6.47,2.178,235
2021-06-09,2.15,30.97,6.88,4.05,8.69,3.076,263
2021-06-10,0.75,47.5,1.9,1.42,2.75,5.458,177
2021-06-11,1.1,30.2,2.63,1.83,3.5,2.699,179
2021-06-12,0.75,71.13,1.73,1.3,3.33,5.586,162
2021-06-13,0.3,12.87,1,0.7,1.3,1.125,160
2021-06-14,0.9,42.23,2.35,1.49,3.07,3.275,197
